CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
125,9,53,3,2003,1418,R,1,1,1,coh,intact,cohab,937,Mo and yr given,0,Mo and yr given,942,Mo and yr given,0,Mo and yr given,,,,,937,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,645,"Foreign country, country not specified",YES,18,INAPPLICABLE,YES,INAPPLICABLE,36,0,16,INAPPLICABLE,INAPPLICABLE,NO ANSWER,YES,98000,MARRIED/LIVE W/SP,942,1,1,.69230771,18,12.461538,1,0,"Foreign country, country not specified",0,0,1954,,
130,4,52,4,2002,1492,R,1,1,0,mar,intact,did not cohab,908,Mo and yr given,0,Mo and yr given,908,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,628,Massachusetts,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,908,0,1,0,0,0,1,0,Massachusetts,1975,1974,1952,22,23
132,11,54,3,2002,1535,R,3,3,1,mar,div,did not cohab,875,Mo and yr given,1065,Mo and yr given,875,Mo and yr given,1053,Mo and yr given,1065,Mo and yr given,,,,,mar,div,No,1098,Mo and yr given,1079,Mo and yr given,1098,Mo and yr given,1129,Mo and yr given,1079,Mo and yr given,,,,,coh,div,Yes,1181,Mo and yr given,1199,Mo and yr given,1182,Mo and yr given,1199,Mo and yr given,1199,Mo and yr given,,,1181,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,683,Pennsylvania,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,875,0,1,1,0,0,1,0,Pennsylvania,0,1980,1957,23,
134,11,49,5,2003,1551,R,1,1,0,mar,intact,did not cohab,1001,Mo and yr given,0,Mo and yr given,1001,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,599,New Hampshire,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1001,0,1,1,40,40,1,0,New Hampshire,1971,1977,1950,27,21
136,3,49,11,2001,1564,R,1,1,0,mar,intact,did not cohab,798,Mo and yr given,0,Mo and yr given,798,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,591,Kentucky,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,147000,MARRIED/LIVE W/SP,798,0,1,0,0,0,1,0,Kentucky,1972,1976,1949,27,23
139,12,52,6,2002,1572,R,1,1,0,mar,intact,did not cohab,852,Mo and yr given,0,Mo and yr given,852,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,636,Louisiana,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,YES,196000,MARRIED/LIVE W/SP,852,0,1,1,40,40,1,0,Louisiana,0,0,1953,,
146,8,49,8,2002,1644,R,2,1,0,mar,div,did not cohab,821,Mo and yr given,1135,Mo and yr given,821,Mo and yr given,1136,Mo and yr given,1135,Mo and yr given,,,,,coh,intact,No,1146,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1146,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,596,Louisiana,NO,8,INAPPLICABLE,NO,85,52,INAPPLICABLE,INAPPLICABLE,NO ANSWER,INAPPLICABLE,NO ANSWER,YES,98000,MARRIED/LIVE W/SP,821,0,1,1,0,0,1,0,Louisiana,0,0,1950,,
148,6,51,6,2002,1678,R,1,1,0,mar,intact,did not cohab,843,Mo and yr given,0,Mo and yr given,843,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,618,Maine,YES,30,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,843,0,1,1,30,30,1,0,Maine,1973,1972,1952,20,21
155,1,50,3,2001,1753,R,1,0,0,coh,sep,did not cohab,1053,Mo and yr given,1069,Mo and yr given,0,Mo and yr given,1069,Mo and yr given,,,,,1053,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,601,Pennsylvania,YES,40,INAPPLICABLE,YES,INAPPLICABLE,48,4,0,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,49000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,40,40,0,0,Pennsylvania,0,1980,1950,30,
158,12,53,3,2002,1782,R,2,2,0,mar,div,did not cohab,885,Mo and yr given,1011,Mo and yr given,885,Mo and yr given,999,Mo and yr given,1011,Mo and yr given,,,,,mar,intact,No,1023,Mo and yr given,0,Mo and yr given,1023,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,648,California,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,147000,MARRIED/LIVE W/SP,1023,0,1,1,40,40,1,0,California,1970,0,1954,,16
160,11,46,5,2002,1787,R,1,1,0,mar,intact,did not cohab,789,Mo and yr given,0,Mo and yr given,789,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,563,Montana,YES,30,INAPPLICABLE,YES,INAPPLICABLE,50,0,2,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,789,0,1,.96153843,30,28.846153,1,0,Montana,1973,1976,1947,29,26
165,4,49,8,2001,1862,R,2,2,0,mar,div,did not cohab,856,Mo and yr given,892,Mo alloc from season,856,Mo and yr given,880,Mo alloc from season,892,Mo alloc from season,,,,,mar,sep,No,968,Mo and yr given,1220,Mo and yr given,968,Mo and yr given,1220,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,592,Virginia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,968,0,1,1,40,40,1,0,Virginia,0,1982,1949,33,
169,6,53,2,2001,1870,R,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,642,Texas,INAP-IN ARMED FRCS,30,INAPPLICABLE,NO,50,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,50,50,0,0,Texas,1970,0,1954,,16
171,8,50,4,2002,1896,R,1,1,0,mar,intact,did not cohab,918,Mo and yr given,0,Mo and yr given,918,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,608,Maine,YES,40,INAPPLICABLE,YES,INAPPLICABLE,38,0,14,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,490000,MARRIED/LIVE W/SP,918,0,1,.73076922,40,29.230768,1,0,Maine,1973,1972,1951,21,22
173,5,45,3,2002,1905,R,1,1,0,mar,intact,did not cohab,817,Mo and yr given,0,Mo and yr given,817,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,545,Indiana,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,817,0,1,0,0,0,1,0,Indiana,1973,1927,1945,-18,28
179,11,50,11,2001,1955,R,1,1,1,coh,div,cohab,906,Mo and yr given,1019,Mo and yr given,911,Mo and yr given,1002,Mo and yr given,1019,Mo and yr given,,,906,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,611,Pennsylvania,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,0,0,0,0,0,Pennsylvania,0,1980,1951,29,
181,6,49,2,2002,1976,R,4,3,0,mar,div,did not cohab,822,Mo and yr given,853,Mo and yr given,822,Mo and yr given,849,Mo and yr given,853,Mo and yr given,,,,,mar,div,No,866,Mo and yr given,889,Mo and yr given,866,Mo and yr given,882,Mo and yr given,889,Mo and yr given,,,,,mar,div,No,898,Mo and yr given,1179,Mo and yr given,898,Mo and yr given,1168,Mo and yr given,1179,Mo and yr given,,,,,coh,intact,No,1213,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1213,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,594,Oregon,YES,NONE,NO,INAPPLICABLE,INAPPLICABLE,3,0,49,INAPPLICABLE,INAPPLICABLE,YES,YES,245000,MARRIED/LIVE W/SP,898,0,1,.057692308,0,0,1,0,Oregon,1971,1971,1950,21,21
182,9,52,4,2002,1984,R,1,1,1,coh,intact,cohab,1007,Mo and yr given,0,Mo and yr given,1024,Mo and yr given,0,Mo and yr given,,,,,1007,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,633,North Carolina,YES,48,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,1024,1,1,1,48,48,1,0,North Carolina,0,1981,1953,28,
184,6,47,3,2002,1997,R,2,2,1,mar,div,did not cohab,840,Mo and yr given,960,Mo and yr given,840,Mo and yr given,948,Mo and yr given,960,Mo and yr given,,,,,coh,intact,Yes,974,Mo and yr given,0,Mo and yr given,996,Mo and yr given,0,Mo and yr given,,,,,974,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,570,Arizona,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,996,1,1,1,40,40,1,0,Arizona,1973,0,1948,,25
192,2,45,4,2002,2067,R,1,1,0,mar,intact,did not cohab,763,Mo and yr given,0,Mo and yr given,763,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,542,California,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,763,0,1,0,0,0,1,0,California,1970,0,1945,,25
198,10,45,4,2002,2121,R,4,2,1,mar,div,did not cohab,791,Mo and yr given,1006,Mo and yr given,791,Mo and yr given,997,Mo and yr given,1006,Mo and yr given,,,,,coh,sep,No,1002,Mo and yr given,1058,Mo and yr given,0,Mo and yr given,1058,Mo and yr given,,,,,1002,Mo and yr given,coh,sep,No,1002,Mo and yr given,1058,Mo and yr given,0,Mo and yr given,1058,Mo and yr given,,,,,1002,Mo and yr given,coh,intact,Yes,1137,Mo and yr given,0,Mo and yr given,1176,Mo and yr given,0,Mo and yr given,,,,,1137,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repeated begdat,DIVORCED,MALE,COHABITING CIRCLED,INAPPLICABLE,550,Connecticut,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,COHABIT-DIVORCED,1002,1,1,1,40,40,0,1,Connecticut,1973,1973,1946,27,27
200,2,47,12,2001,2155,R,2,2,1,mar,div,did not cohab,797,Mo and yr given,831,Mo and yr given,797,Mo and yr given,829,Mo and yr given,831,Mo and yr given,,,,,coh,wid,Yes,870,Mo and yr given,992,Mo and yr given,897,Mo and yr given,0,Mo and yr given,,,992,Mth and yr given,870,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,WIDOWED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,566,Connecticut,YES,24,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,98000,NOT COHAB-WIDOWED,INAPPLICABLE,1,1,1,24,24,0,0,Connecticut,1973,1973,1947,26,26
205,12,49,9,2001,2197,R,4,1,0,mar,div,did not cohab,820,Mo and yr given,863,Mo and yr given,820,Mo and yr given,859,Mo alloc from season,863,Mo and yr given,,,,,coh,sep,No,868,Mo alloc from season,876,Mth alloc for order,0,Mo and yr given,876,Mth alloc for order,,,,,868,Mo alloc from season,coh,sep,No,916,Mo and yr given,1114,Mo and yr given,0,Mo and yr given,1114,Mo and yr given,,,,,916,Mo and yr given,UNDOCUMENTED CODE,UNDOCUMENTED CODE,No,8888,NA,1156,Mo and yr given,0,Mo and yr given,8888,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHABITING CIRCLED,INAPPLICABLE,600,New Jersey,YES,48,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,COHABIT-DIVORCED,916,1,1,1,48,48,0,1,New Jersey,0,1974,1950,24,
207,1,53,2,2003,2201,R,2,2,2,coh,div,cohab,883,Mo and yr given,963,Mo and yr given,912,Mo and yr given,920,Mo and yr given,963,Mo and yr given,,,883,Mo and yr given,coh,intact,Yes,943,Mo and yr given,0,Mo and yr given,964,Mo and yr given,0,Mo and yr given,,,,,943,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,637,Georgia,YES,39,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,964,1,1,1,39,39,1,0,Georgia,1973,1984,1953,31,20
210,8,52,11,2001,2230,R,1,1,0,mar,intact,did not cohab,853,Mo and yr given,0,Mo and yr given,853,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,632,Wyoming,YES,55,INAPPLICABLE,NO,60,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,853,0,1,1,60,60,1,0,Wyoming,1977,1967,1953,14,24
212,11,52,4,2002,2235,R,3,3,0,mar,wid,did not cohab,869,Mo and yr given,906,Mo and yr given,869,Mo and yr given,0,Mo and yr given,,,906,Mth and yr given,,,mar,div,No,938,Mo and yr given,1024,Mo and yr given,938,Mo and yr given,1021,Mo and yr given,1024,Mo and yr given,,,,,mar,intact,No,1039,Mo and yr given,0,Mo and yr given,1039,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,623,Indiana,YES,35,INAPPLICABLE,YES,INAPPLICABLE,36,0,16,INAPPLICABLE,INAPPLICABLE,NO ANSWER,YES,98000,MARRIED/LIVE W/SP,1039,0,1,.69230771,35,24.23077,1,0,Indiana,1973,1927,1952,-25,21
216,12,54,5,2002,2269,R,1,1,1,coh,intact,cohab,1013,Mo and yr given,0,Mo and yr given,1015,Mo and yr given,0,Mo and yr given,,,,,1013,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,660,California,YES,60,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,1015,1,1,1,40,40,1,0,California,1970,0,1955,,15
218,7,49,3,2002,2277,R,2,2,1,mar,div,did not cohab,786,Mo and yr given,898,Mo alloc from season,786,Mo and yr given,848,Mo and yr given,898,Mo alloc from season,,,,,coh,intact,Yes,906,Mo and yr given,0,Mo and yr given,912,Mo and yr given,0,Mo and yr given,,,,,906,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,595,Oklahoma,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,912,1,1,1,40,40,1,0,Oklahoma,1927,1975,1950,25,-23
